,states_name,Date of ratification,Sorted_Dates
0,Alabama,"Dec 14, 1819","Dec 7, 1787"
1,Alaska,"Jan 3, 1959","Dec 12, 1787"
2,Arizona,"Feb 14, 1912","Dec 18, 1787"
3,Arkansas,"Jun 15, 1836","Jan 2, 1788"
4,California,"Sep 9, 1850","Jan 9, 1788"
5,Colorado,"Aug 1, 1876","Feb 6, 1788"
6,Connecticut,"Jan 9, 1788","Apr 28, 1788"
7,Delaware,"Dec 7, 1787","May 23, 1788"
8,Florida,"Mar 3, 1845","Jun 21, 1788"
9,Georgia,"Jan 2, 1788","Jun 25, 1788"
10,Hawaii,"Aug 21, 1959","Jul 26, 1788"
11,Idaho,"Jul 3, 1890","Nov 21, 1789"
12,Illinois,"Dec 3, 1818","May 29, 1790"
13,Indiana,"Dec 11, 1816","Mar 4, 1791"
14,Iowa,"Dec 28, 1846","Jun 1, 1792"
15,Kansas,"Jan 29, 1861","Jun 1, 1796"
16,Kentucky,"Jun 1, 1792","Mar 1, 1803"
17,Louisiana,"Apr 30, 1812","Apr 30, 1812"
18,Maine,"Mar 15, 1820","Dec 11, 1816"
19,Maryland,"Apr 28, 1788","Dec 10, 1817"
20,Massachusetts,"Feb 6, 1788","Dec 3, 1818"
21,Michigan,"Jan 26, 1837","Dec 14, 1819"
22,Minnesota,"May 11, 1858","Mar 15, 1820"
23,Mississippi,"Dec 10, 1817","Aug 10, 1821"
24,Missouri,"Aug 10, 1821","Jun 15, 1836"
25,Montana,"Nov 8, 1889","Jan 26, 1837"
26,Nebraska,"Mar 1, 1867","Mar 3, 1845"
27,Nevada,"Oct 31, 1864","Dec 29, 1845"
28,New Hampshire,"Jun 21, 1788","Dec 28, 1846"
29,New Jersey,"Dec 18, 1787","May 29, 1848"
30,New Mexico,"Jan 6, 1912","Sep 9, 1850"
31,New York,"Jul 26, 1788","May 11, 1858"
32,North Carolina,"Nov 21, 1789","Feb 14, 1859"
33,North Dakota,"Nov 2, 1889","Jan 29, 1861"
34,Ohio,"Mar 1, 1803","Jun 20, 1863"
35,Oklahoma,"Nov 16, 1907","Oct 31, 1864"
36,Oregon,"Feb 14, 1859","Mar 1, 1867"
37,Pennsylvania,"Dec 12, 1787","Aug 1, 1876"
38,Rhode Island,"May 29, 1790","Nov 2, 1889"
39,South Carolina,"May 23, 1788","Nov 2, 1889"
40,South Dakota,"Nov 2, 1889","Nov 8, 1889"
41,Tennessee,"Jun 1, 1796","Nov 11, 1889"
42,Texas,"Dec 29, 1845","Jul 3, 1890"
43,Utah,"Jan 4, 1896","Jul 10, 1890"
44,Vermont,"Mar 4, 1791","Jan 4, 1896"
45,Virginia,"Jun 25, 1788","Nov 16, 1907"
46,Washington,"Nov 11, 1889","Jan 6, 1912"
47,West Virginia,"Jun 20, 1863","Feb 14, 1912"
48,Wisconsin,"May 29, 1848","Jan 3, 1959"
49,Wyoming,"Jul 10, 1890","Aug 21, 1959"
